nb;Param;Instance;solution;time
90;18;5;97;0
90;18;6;85;0
90;18;7;76;0
90;18;8;95;0
90;18;9;90;0
90;18;10;97;0
90;19;1;99;0
90;19;2;84;0
90;19;3;90;3e-06
90;19;4;80;2e-06
90;19;5;71;1e-06
90;19;6;136;1e-06
90;19;7;70;1e-06
90;19;8;91;1e-06
90;19;9;121;1e-06
90;19;10;88;1e-06
90;20;1;85;1e-06
90;20;2;76;0
90;20;3;86;0
90;20;4;86;0
90;20;5;88;1e-06
90;20;6;83;0
90;20;7;82;1e-06
90;20;8;85;0
90;20;9;76;0
90;20;10;89;0
90;21;1;136;0
90;21;2;146;0
90;21;3;149;1e-06
90;21;4;141;0
90;21;5;139;1e-06
90;21;6;140;0
90;21;7;127;1e-06
90;21;8;144;1e-06
90;21;9;154;1e-06
90;21;10;123;0
90;22;1;111;1e-06
90;22;2;96;0
90;22;3;104;1e-06
90;22;4;101;1e-06
90;22;5;99;0
90;22;6;80;1e-06
90;22;7;92;1e-06
90;22;8;99;0
90;22;9;115;0
90;22;10;91;0
90;23;1;92;2e-06
90;23;2;84;1e-06
90;23;3;116;1e-06
90;23;4;91;1e-06
90;23;5;98;1e-06
90;23;6;92;0
90;23;7;77;1e-06
90;23;8;92;1e-06
90;23;9;126;1e-06
90;23;10;88;0
90;24;1;84;0
90;24;2;92;0
90;24;3;69;2e-06
90;24;4;81;1e-06
90;24;5;85;1e-06
90;24;6;79;1e-06
90;24;7;87;0
90;24;8;88;0
90;24;9;80;2e-06
90;24;10;89;1e-06
90;25;1;150;0
90;25;2;156;0
90;25;3;148;0
90;25;4;159;1e-06
90;25;5;133;0
90;25;6;139;1e-06
90;25;7;157;0
90;25;8;178;0
90;25;9;124;1e-06
90;25;10;152;0
90;26;1;97;0
90;26;2;119;3e-06
90;26;3;86;1e-06
90;26;4;110;0
90;26;5;98;0
90;26;6;116;0
90;26;7;95;0
90;26;8;98;4e-06
90;26;9;110;1e-06
